utterance                                                                   , intent        , tokens                                                                                                                                                                 , token_ids
what's the humidity outside?                                                , google search , "['what', 'Ġbe', 'Ġthe', 'Ġhumidity', 'Ġoutside', 'Ġ?']"                                                                                                               , "[356, 297, 269, 2834, 1369, 292]"
get me real-time pollution index                                            , google search , "['get', 'Ġme', 'Ġreal', 'Ġ-', 'Ġtime', 'Ġpoll', 'ution', 'Ġindex']"                                                                                                   , "[432, 283, 742, 344, 429, 2507, 2486, 1889]"
any live weather warnings?                                                  , google search , "['any', 'Ġlive', 'Ġweather', 'Ġwarnings', 'Ġ?']"                                                                                                                      , "[1402, 555, 932, 5178, 292]"
can you check the weather?                                                  , google search , "['can', 'Ġyou', 'Ġcheck', 'Ġthe', 'Ġweather', 'Ġ?']"                                                                                                                  , "[383, 314, 540, 269, 932, 292]"
what's the temperature outside?                                             , google search , "['what', 'Ġbe', 'Ġthe', 'Ġtemperature', 'Ġoutside', 'Ġ?']"                                                                                                            , "[356, 297, 269, 1470, 1369, 292]"
is it sunny now?                                                            , google search , "['be', 'Ġit', 'Ġsunny', 'Ġnow', 'Ġ?']"                                                                                                                                , "[342, 377, 4803, 490, 292]"
what's the current weather?                                                 , google search , "['what', 'Ġbe', 'Ġthe', 'Ġcurrent', 'Ġweather', 'Ġ?']"                                                                                                                , "[356, 297, 269, 717, 932, 292]"
is there a storm brewing?                                                   , google search , "['be', 'Ġthere', 'Ġa', 'Ġstorm', 'Ġbrew', 'Ġ?']"                                                                                                                      , "[342, 1115, 262, 1686, 4842, 292]"
what's the UV index today?                                                  , google search , "['what', 'Ġbe', 'Ġthe', 'Ġuv', 'Ġindex', 'Ġtoday', 'Ġ?']"                                                                                                             , "[356, 297, 269, 3776, 1889, 595, 292]"
how's the sky looking outside?                                              , google search , "['how', 'Ġbe', 'Ġthe', 'Ġsky', 'Ġlook', 'Ġoutside', 'Ġ?']"                                                                                                            , "[331, 297, 269, 1046, 1059, 1369, 292]"
is the moon visible right now?                                              , google search , "['be', 'Ġthe', 'Ġmoon', 'Ġvis', 'ible', 'Ġright', 'Ġnow', 'Ġ?']"                                                                                                      , "[342, 269, 1500, 919, 1899, 772, 490, 292]"
what's the real feel temperature?                                           , google search , "['what', 'Ġbe', 'Ġthe', 'Ġreal', 'Ġfeel', 'Ġtemperature', 'Ġ?']"                                                                                                      , "[356, 297, 269, 742, 831, 1470, 292]"
can I see stars tonight?                                                    , google search , "['can', 'Ġi', 'Ġsee', 'Ġstars', 'Ġtonight', 'Ġ?']"                                                                                                                    , "[383, 323, 1444, 1753, 1220, 292]"
is it safe to drive now?                                                    , google search , "['be', 'Ġit', 'Ġsafe', 'Ġto', 'Ġdrive', 'Ġnow', 'Ġ?']"                                                                                                                , "[342, 377, 1526, 282, 1423, 490, 292]"
is the pollen count high today?                                             , google search , "['be', 'Ġthe', 'Ġpollen', 'Ġcount', 'Ġhigh', 'Ġtoday', 'Ġ?']"                                                                                                         , "[342, 269, 4120, 1093, 845, 595, 292]"
can I catch the sunset now?                                                 , google search , "['can', 'Ġi', 'Ġcatch', 'Ġthe', 'Ġsunset', 'Ġnow', 'Ġ?']"                                                                                                             , "[383, 323, 2157, 269, 1251, 490, 292]"
what kind of clouds are out now?                                            , google search , "['what', 'Ġkind', 'Ġof', 'Ġclouds', 'Ġbe', 'Ġout', 'Ġnow', 'Ġ?']"                                                                                                     , "[356, 2726, 310, 2237, 297, 458, 490, 292]"
is the weather good for a picnic?                                           , google search , "['be', 'Ġthe', 'Ġweather', 'Ġgood', 'Ġfor', 'Ġa', 'Ġpicnic', 'Ġ?']"                                                                                                   , "[342, 269, 932, 1406, 298, 262, 3993, 292]"
are we expecting lightning today?                                           , google search , "['be', 'Ġwe', 'Ġexpect', 'Ġlightning', 'Ġtoday', 'Ġ?']"                                                                                                               , "[342, 509, 3399, 2535, 595, 292]"
how's the wind chill today?                                                 , google search , "['how', 'Ġbe', 'Ġthe', 'Ġwind', 'Ġchill', 'Ġtoday', 'Ġ?']"                                                                                                            , "[331, 297, 269, 544, 823, 595, 292]"
what's the dew point right now?                                             , google search , "['what', 'Ġbe', 'Ġthe', 'Ġdew', 'Ġpoint', 'Ġright', 'Ġnow', 'Ġ?']"                                                                                                    , "[356, 297, 269, 4516, 1456, 772, 490, 292]"
can I wear sandals today?                                                   , google search , "['can', 'Ġi', 'Ġwear', 'Ġsand', 'als', 'Ġtoday', 'Ġ?']"                                                                                                               , "[383, 323, 2072, 3239, 2669, 595, 292]"
do I need to carry a water bottle today?                                    , google search , "['do', 'Ġi', 'Ġneed', 'Ġto', 'Ġcarry', 'Ġa', 'Ġwater', 'Ġbottle', 'Ġtoday', 'Ġ?']"                                                                                    , "[450, 323, 801, 282, 3432, 262, 694, 4116, 595, 292]"
is the visibility low outside?                                              , google search , "['be', 'Ġthe', 'Ġvisibility', 'Ġlow', 'Ġoutside', 'Ġ?']"                                                                                                              , "[342, 269, 2851, 2049, 1369, 292]"
what's the barometric pressure today?                                       , google search , "['what', 'Ġbe', 'Ġthe', 'Ġbar', 'ometric', 'Ġpressure', 'Ġtoday', 'Ġ?']"                                                                                              , "[356, 297, 269, 3263, 3408, 2251, 595, 292]"
do I need an extra blanket tonight?                                         , google search , "['do', 'Ġi', 'Ġneed', 'Ġan', 'Ġextra', 'Ġbl', 'ank', 'et', 'Ġtonight', 'Ġ?']"                                                                                         , "[450, 323, 801, 316, 3904, 792, 1014, 313, 1220, 292]"
can I hang my laundry outside today?                                        , google search , "['can', 'Ġi', 'Ġhang', 'Ġmy', 'Ġlaundry', 'Ġoutside', 'Ġtoday', 'Ġ?']"                                                                                                , "[383, 323, 4577, 345, 1646, 1369, 595, 292]"
is it foggy out there?                                                      , google search , "['be', 'Ġit', 'Ġfoggy', 'Ġout', 'Ġthere', 'Ġ?']"                                                                                                                      , "[342, 377, 4106, 458, 1115, 292]"
what's the weather by the hour?                                             , google search , "['what', 'Ġbe', 'Ġthe', 'Ġweather', 'Ġby', 'Ġthe', 'Ġhour', 'Ġ?']"                                                                                                    , "[356, 297, 269, 932, 724, 269, 1205, 292]"
should I cancel my outdoor plans?                                           , google search , "['should', 'Ġi', 'Ġcancel', 'Ġmy', 'Ġoutdoor', 'Ġplans', 'Ġ?']"                                                                                                       , "[2060, 323, 2846, 345, 3878, 4774, 292]"
is the road icy right now?                                                  , google search , "['be', 'Ġthe', 'Ġroad', 'Ġicy', 'Ġright', 'Ġnow', 'Ġ?']"                                                                                                              , "[342, 269, 2328, 3686, 772, 490, 292]"
how's the lightning risk today?                                             , google search , "['how', 'Ġbe', 'Ġthe', 'Ġlightning', 'Ġrisk', 'Ġtoday', 'Ġ?']"                                                                                                        , "[331, 297, 269, 2535, 4697, 595, 292]"
is it safe for a bike ride now?                                             , google search , "['be', 'Ġit', 'Ġsafe', 'Ġfor', 'Ġa', 'Ġbike', 'Ġride', 'Ġnow', 'Ġ?']"                                                                                                 , "[342, 377, 1526, 298, 262, 3063, 2227, 490, 292]"
can I stargaze tonight?                                                     , google search , "['can', 'Ġi', 'Ġstar', 'ga', 'ze', 'Ġtonight', 'Ġ?']"                                                                                                                 , "[383, 323, 2693, 1653, 1659, 1220, 292]"
how much daylight do we have left?                                          , google search , "['how', 'Ġmuch', 'Ġday', 'light', 'Ġdo', 'Ġwe', 'Ġhave', 'Ġleave', 'Ġ?']"                                                                                             , "[331, 2441, 872, 730, 359, 509, 782, 1127, 292]"
what's the weather like for tomorrow morning?                               , google search , "['what', 'Ġbe', 'Ġthe', 'Ġweather', 'Ġlike', 'Ġfor', 'Ġtomorrow', 'Ġmorning', 'Ġ?']"                                                                                  , "[356, 297, 269, 932, 529, 298, 936, 865, 292]"
how's the forecast for this evening?                                        , google search , "['how', 'Ġbe', 'Ġthe', 'Ġforecast', 'Ġfor', 'Ġthis', 'Ġevening', 'Ġ?']"                                                                                               , "[331, 297, 269, 1978, 298, 346, 1253, 292]"
will it be humid later?                                                     , google search , "['will', 'Ġit', 'Ġbe', 'Ġhumid', 'Ġlater', 'Ġ?']"                                                                                                                     , "[1808, 377, 297, 2352, 1450, 292]"
any snow expected overnight?                                                , google search , "['any', 'Ġsnow', 'Ġexpect', 'Ġovernight', 'Ġ?']"                                                                                                                      , "[1402, 2095, 3399, 3928, 292]"
is there a wind advisory right now?                                         , google search , "['be', 'Ġthere', 'Ġa', 'Ġwind', 'Ġadvis', 'ory', 'Ġright', 'Ġnow', 'Ġ?']"                                                                                             , "[342, 1115, 262, 544, 4890, 641, 772, 490, 292]"
how's the cloud cover?                                                      , google search , "['how', 'Ġbe', 'Ġthe', 'Ġcloud', 'Ġcover', 'Ġ?']"                                                                                                                     , "[331, 297, 269, 1311, 2204, 292]"
will the temp drop suddenly tonight?                                        , google search , "['will', 'Ġthe', 'Ġtemp', 'Ġdrop', 'Ġs', 'ud', 'd', 'en', 'ly', 'Ġtonight', 'Ġ?']"                                                                                    , "[1808, 269, 1705, 1362, 265, 628, 72, 279, 440, 1220, 292]"
is it safe to fly a drone now?                                              , google search , "['be', 'Ġit', 'Ġsafe', 'Ġto', 'Ġfly', 'Ġa', 'Ġdrone', 'Ġnow', 'Ġ?']"                                                                                                  , "[342, 377, 1526, 282, 972, 262, 3091, 490, 292]"
how's the sunrise going to look tomorrow?                                   , google search , "['how', 'Ġbe', 'Ġthe', 'Ġsunrise', 'Ġgo', 'Ġto', 'Ġlook', 'Ġtomorrow', 'Ġ?']"                                                                                         , "[331, 297, 269, 1971, 763, 282, 1059, 936, 292]"
are the roads wet outside?                                                  , google search , "['be', 'Ġthe', 'Ġroads', 'Ġw', 'et', 'Ġoutside', 'Ġ?']"                                                                                                               , "[342, 269, 4731, 281, 313, 1369, 292]"
what's the minute-by-minute forecast?                                       , google search , "['what', 'Ġbe', 'Ġthe', 'Ġminute', 'Ġ-', 'Ġby', 'Ġ-', 'Ġminute', 'Ġforecast', 'Ġ?']"                                                                                  , "[356, 297, 269, 1771, 344, 724, 344, 1771, 1978, 292]"
can I leave my windows open today?                                          , google search , "['can', 'Ġi', 'Ġleave', 'Ġmy', 'Ġwindows', 'Ġopen', 'Ġtoday', 'Ġ?']"                                                                                                  , "[383, 323, 1127, 345, 1967, 1216, 595, 292]"
how intense is the sun now?                                                 , google search , "['how', 'Ġint', 'ense', 'Ġbe', 'Ġthe', 'Ġsun', 'Ġnow', 'Ġ?']"                                                                                                         , "[331, 583, 1820, 297, 269, 702, 490, 292]"
what time is it in my city?                                                 , google search , "['what', 'Ġtime', 'Ġbe', 'Ġit', 'Ġin', 'Ġmy', 'Ġcity', 'Ġ?']"                                                                                                         , "[356, 429, 297, 377, 311, 345, 716, 292]"
is the heat index high right now?                                           , google search , "['be', 'Ġthe', 'Ġheat', 'Ġindex', 'Ġhigh', 'Ġright', 'Ġnow', 'Ġ?']"                                                                                                   , "[342, 269, 3893, 1889, 845, 772, 490, 292]"
will the rain last all day?                                                 , google search , "['will', 'Ġthe', 'Ġrain', 'Ġlast', 'Ġall', 'Ġday', 'Ġ?']"                                                                                                             , "[1808, 269, 1224, 1076, 739, 872, 292]"
can I wear light clothes today?                                             , google search , "['can', 'Ġi', 'Ġwear', 'Ġlight', 'Ġcloth', 'es', 'Ġtoday', 'Ġ?']"                                                                                                     , "[383, 323, 2072, 915, 5341, 294, 595, 292]"
how hot did it get today?                                                   , google search , "['how', 'Ġhot', 'Ġdo', 'Ġit', 'Ġget', 'Ġtoday', 'Ġ?']"                                                                                                                , "[331, 1492, 359, 377, 751, 595, 292]"
will tonight be chilly?                                                     , google search , "['will', 'Ġtonight', 'Ġbe', 'Ġchilly', 'Ġ?']"                                                                                                                         , "[1808, 1220, 297, 3950, 292]"
what's the current air pressure?                                            , google search , "['what', 'Ġbe', 'Ġthe', 'Ġcurrent', 'Ġair', 'Ġpressure', 'Ġ?']"                                                                                                       , "[356, 297, 269, 717, 958, 2251, 292]"
should I carry an umbrella just in case?                                    , google search , "['should', 'Ġi', 'Ġcarry', 'Ġan', 'Ġumbrella', 'Ġjust', 'Ġin', 'Ġcase', 'Ġ?']"                                                                                        , "[2060, 323, 3432, 316, 3162, 920, 311, 2918, 292]"
is the morning fog clearing up?                                             , google search , "['be', 'Ġthe', 'Ġmorning', 'Ġfog', 'Ġclearing', 'Ġup', 'Ġ?']"                                                                                                         , "[342, 269, 865, 2289, 5115, 325, 292]"
tell me the temperature                                                     , google search , "['tell', 'Ġme', 'Ġthe', 'Ġtemperature']"                                                                                                                              , "[522, 283, 269, 1470]"
is it going to rain today?                                                  , google search , "['be', 'Ġit', 'Ġgo', 'Ġto', 'Ġrain', 'Ġtoday', 'Ġ?']"                                                                                                                 , "[342, 377, 763, 282, 1224, 595, 292]"
give me today's date                                                        , google search , "['give', 'Ġme', 'Ġtoday', ""Ġ'"", 's', 'Ġdate']"                                                                                                                      , "[489, 283, 595, 532, 87, 1447]"
show me time                                                                , google search , "['show', 'Ġme', 'Ġtime']"                                                                                                                                             , "[433, 283, 429]"
what time is it right now?                                                  , google search , "['what', 'Ġtime', 'Ġbe', 'Ġit', 'Ġright', 'Ġnow', 'Ġ?']"                                                                                                              , "[356, 429, 297, 377, 772, 490, 292]"
tell me the time please                                                     , google search , "['tell', 'Ġme', 'Ġthe', 'Ġtime', 'Ġplease']"                                                                                                                          , "[522, 283, 269, 429, 1740]"
how's the weather looking?                                                  , google search , "['how', 'Ġbe', 'Ġthe', 'Ġweather', 'Ġlook', 'Ġ?']"                                                                                                                    , "[331, 297, 269, 932, 1059, 292]"
weather update                                                              , google search , "['weather', 'Ġupdate']"                                                                                                                                               , "[4010, 744]"
do I need an umbrella?                                                      , google search , "['do', 'Ġi', 'Ġneed', 'Ġan', 'Ġumbrella', 'Ġ?']"                                                                                                                      , "[450, 323, 801, 316, 3162, 292]"
current date and time                                                       , google search , "['current', 'Ġdate', 'Ġand', 'Ġtime']"                                                                                                                                , "[2410, 1447, 431, 429]"
sunrise time today?                                                         , google search , "['sunrise', 'Ġtime', 'Ġtoday', 'Ġ?']"                                                                                                                                 , "[4201, 429, 595, 292]"
what time is it?                                                            , google search , "['what', 'Ġtime', 'Ġbe', 'Ġit', 'Ġ?']"                                                                                                                                , "[356, 429, 297, 377, 292]"
forecast for today                                                          , google search , "['fore', 'cast', 'Ġfor', 'Ġtoday']"                                                                                                                                   , "[851, 710, 298, 595]"
any weather alerts?                                                         , google search , "['any', 'Ġweather', 'Ġalerts', 'Ġ?']"                                                                                                                                 , "[1402, 932, 2362, 292]"
how hot is it outside?                                                      , google search , "['how', 'Ġhot', 'Ġbe', 'Ġit', 'Ġoutside', 'Ġ?']"                                                                                                                      , "[331, 1492, 297, 377, 1369, 292]"
is it going to rain today?                                                  , google search , "['be', 'Ġit', 'Ġgo', 'Ġto', 'Ġrain', 'Ġtoday', 'Ġ?']"                                                                                                                 , "[342, 377, 763, 282, 1224, 595, 292]"
what's the time now?                                                        , google search , "['what', 'Ġbe', 'Ġthe', 'Ġtime', 'Ġnow', 'Ġ?']"                                                                                                                       , "[356, 297, 269, 429, 490, 292]"
how's the weather today?                                                    , google search , "['how', 'Ġbe', 'Ġthe', 'Ġweather', 'Ġtoday', 'Ġ?']"                                                                                                                   , "[331, 297, 269, 932, 595, 292]"
give me a weather update                                                    , google search , "['give', 'Ġme', 'Ġa', 'Ġweather', 'Ġupdate']"                                                                                                                         , "[489, 283, 262, 932, 744]"
What's the latest news?                                                     , google search , "['what', 'Ġbe', 'Ġthe', 'Ġlatest', 'Ġnews', 'Ġ?']"                                                                                                                    , "[356, 297, 269, 647, 802, 292]"
Any updates on today's headlines?                                           , google search , "['any', 'Ġupdates', 'Ġon', 'Ġtoday', ""Ġ'"", 's', 'Ġheadlines', 'Ġ?']"                                                                                                , "[1402, 1031, 322, 595, 532, 87, 3046, 292]"
Tell me what's happening around the world.                                  , google search , "['tell', 'Ġme', 'Ġwhat', 'Ġbe', 'Ġhappen', 'Ġaround', 'Ġthe', 'Ġworld', 'Ġ.']"                                                                                        , "[522, 283, 669, 297, 2110, 2064, 269, 949, 415]"
Give me the top news stories.                                               , google search , "['give', 'Ġme', 'Ġthe', 'Ġtop', 'Ġnews', 'Ġstories', 'Ġ.']"                                                                                                           , "[489, 283, 269, 711, 802, 2315, 415]"
What's trending in the news today?                                          , google search , "['what', 'Ġbe', 'Ġtrend', 'Ġin', 'Ġthe', 'Ġnews', 'Ġtoday', 'Ġ?']"                                                                                                    , "[356, 297, 645, 311, 269, 802, 595, 292]"
what's the time?                                                            , google search , "['what', 'Ġbe', 'Ġthe', 'Ġtime', 'Ġ?']"                                                                                                                               , "[356, 297, 269, 429, 292]"
check today's date                                                          , google search , "['check', 'Ġtoday', ""Ġ'"", 's', 'Ġdate']"                                                                                                                            , "[821, 595, 532, 87, 1447]"
current weather                                                             , google search , "['current', 'Ġweather']"                                                                                                                                              , "[2410, 932]"
what's the temperature?                                                     , google search , "['what', 'Ġbe', 'Ġthe', 'Ġtemperature', 'Ġ?']"                                                                                                                        , "[356, 297, 269, 1470, 292]"
is it raining?                                                              , google search , "['be', 'Ġit', 'Ġrain', 'Ġ?']"                                                                                                                                         , "[342, 377, 1224, 292]"
weather forecast                                                            , google search , "['weather', 'Ġforecast']"                                                                                                                                             , "[4010, 1978]"
time now                                                                    , google search , "['time', 'Ġnow']"                                                                                                                                                     , "[1441, 490]"
date today                                                                  , google search , "['date', 'Ġtoday']"                                                                                                                                                   , "[2006, 595]"
sunrise time                                                                , google search , "['sunrise', 'Ġtime']"                                                                                                                                                 , "[4201, 429]"
moon phase                                                                  , google search , "['moon', 'Ġphase']"                                                                                                                                                   , "[4944, 3420]"
clock check please                                                          , google search , "['clock', 'Ġcheck', 'Ġplease']"                                                                                                                                       , "[2611, 540, 1740]"
drop the current time                                                       , google search , "['drop', 'Ġthe', 'Ġcurrent', 'Ġtime']"                                                                                                                                , "[720, 269, 717, 429]"
when's sunset today?                                                        , google search , "['when', 'Ġbe', 'Ġsunset', 'Ġtoday', 'Ġ?']"                                                                                                                           , "[2697, 297, 1251, 595, 292]"
how chilly is it outside?                                                   , google search , "['how', 'Ġchilly', 'Ġbe', 'Ġit', 'Ġoutside', 'Ġ?']"                                                                                                                   , "[331, 3950, 297, 377, 1369, 292]"
what's the vibe outside? hot or nah?                                        , google search , "['what', 'Ġbe', 'Ġthe', 'Ġvibe', 'Ġoutside', 'Ġ?', 'Ġhot', 'Ġor', 'Ġnah', 'Ġ?']"                                                                                      , "[356, 297, 269, 1122, 1369, 292, 1492, 701, 3300, 292]"
is it hoodie weather?                                                       , google search , "['be', 'Ġit', 'Ġhoodie', 'Ġweather', 'Ġ?']"                                                                                                                           , "[342, 377, 4220, 932, 292]"
can I get the day and time?                                                 , google search , "['can', 'Ġi', 'Ġget', 'Ġthe', 'Ġday', 'Ġand', 'Ġtime', 'Ġ?']"                                                                                                         , "[383, 323, 751, 269, 872, 431, 429, 292]"
what's the sky doing right now?                                             , google search , "['what', 'Ġbe', 'Ġthe', 'Ġsky', 'Ġdo', 'Ġright', 'Ġnow', 'Ġ?']"                                                                                                       , "[356, 297, 269, 1046, 359, 772, 490, 292]"
do I need sunscreen today?                                                  , google search , "['do', 'Ġi', 'Ġneed', 'Ġsunscreen', 'Ġtoday', 'Ġ?']"                                                                                                                  , "[450, 323, 801, 3930, 595, 292]"
what's the forecast look like?                                              , google search , "['what', 'Ġbe', 'Ġthe', 'Ġforecast', 'Ġlook', 'Ġlike', 'Ġ?']"                                                                                                         , "[356, 297, 269, 1978, 1059, 529, 292]"
what timezone am I in?                                                      , google search , "['what', 'Ġtime', 'z', 'one', 'Ġbe', 'Ġi', 'Ġin', 'Ġ?']"                                                                                                              , "[356, 429, 94, 693, 297, 323, 311, 292]"
"just woke up, what's the date?"                                            , google search , "['just', 'Ġwake', 'Ġup', 'Ġ,', 'Ġwhat', 'Ġbe', 'Ġthe', 'Ġdate', 'Ġ?']"                                                                                                , "[1475, 3273, 325, 399, 669, 297, 269, 1447, 292]"
should I carry shades today?                                                , google search , "['should', 'Ġi', 'Ġcarry', 'Ġshades', 'Ġtoday', 'Ġ?']"                                                                                                                , "[2060, 323, 3432, 3874, 595, 292]"
give me a quick weather check                                               , google search , "['give', 'Ġme', 'Ġa', 'Ġquick', 'Ġweather', 'Ġcheck']"                                                                                                                , "[489, 283, 262, 1375, 932, 540]"
how cold will it get tonight?                                               , google search , "['how', 'Ġcold', 'Ġwill', 'Ġit', 'Ġget', 'Ġtonight', 'Ġ?']"                                                                                                           , "[331, 2724, 1327, 377, 751, 1220, 292]"
check today's date                                                          , google search , "['check', 'Ġtoday', ""Ġ'"", 's', 'Ġdate']"                                                                                                                            , "[821, 595, 532, 87, 1447]"
current weather                                                             , google search , "['current', 'Ġweather']"                                                                                                                                              , "[2410, 932]"
date today                                                                  , google search , "['date', 'Ġtoday']"                                                                                                                                                   , "[2006, 595]"
is it raining?                                                              , google search , "['be', 'Ġit', 'Ġrain', 'Ġ?']"                                                                                                                                         , "[342, 377, 1224, 292]"
moon phase                                                                  , google search , "['moon', 'Ġphase']"                                                                                                                                                   , "[4944, 3420]"
sunrise time                                                                , google search , "['sunrise', 'Ġtime']"                                                                                                                                                 , "[4201, 429]"
time now                                                                    , google search , "['time', 'Ġnow']"                                                                                                                                                     , "[1441, 490]"
weather forecast                                                            , google search , "['weather', 'Ġforecast']"                                                                                                                                             , "[4010, 1978]"
what time is it?                                                            , google search , "['what', 'Ġtime', 'Ġbe', 'Ġit', 'Ġ?']"                                                                                                                                , "[356, 429, 297, 377, 292]"
what's the temperature?                                                     , google search , "['what', 'Ġbe', 'Ġthe', 'Ġtemperature', 'Ġ?']"                                                                                                                        , "[356, 297, 269, 1470, 292]"
what's the time?                                                            , google search , "['what', 'Ġbe', 'Ġthe', 'Ġtime', 'Ġ?']"                                                                                                                               , "[356, 297, 269, 429, 292]"
is it safe to step out now?                                                 , google search , "['be', 'Ġit', 'Ġsafe', 'Ġto', 'Ġstep', 'Ġout', 'Ġnow', 'Ġ?']"                                                                                                         , "[342, 377, 1526, 282, 1305, 458, 490, 292]"
drop me a weather stat                                                      , google search , "['drop', 'Ġme', 'Ġa', 'Ġweather', 'Ġstat']"                                                                                                                           , "[720, 283, 262, 932, 978]"
"sky status, now?"                                                          , google search , "['sk', 'y', 'Ġstatus', 'Ġ,', 'Ġnow', 'Ġ?']"                                                                                                                           , "[1086, 93, 1033, 399, 490, 292]"
do I need a jacket?                                                         , google search , "['do', 'Ġi', 'Ġneed', 'Ġa', 'Ġj', 'ack', 'et', 'Ġ?']"                                                                                                                 , "[450, 323, 801, 262, 444, 475, 313, 292]"
what's the current time?                                                    , google search , "['what', 'Ġbe', 'Ġthe', 'Ġcurrent', 'Ġtime', 'Ġ?']"                                                                                                                   , "[356, 297, 269, 717, 429, 292]"
Who won the World Cup?                                                      , google search , "['who', 'Ġwin', 'Ġthe', 'Ġworld', 'Ġcup', 'Ġ?']"                                                                                                                      , "[1042, 1821, 269, 949, 4458, 292]"
what's today's low temp?                                                    , google search , "['what', 'Ġbe', 'Ġtoday', ""Ġ'"", 's', 'Ġlow', 'Ġtemp', 'Ġ?']"                                                                                                        , "[356, 297, 595, 532, 87, 2049, 1705, 292]"
how windy is it outside?                                                    , google search , "['how', 'Ġwind', 'y', 'Ġbe', 'Ġit', 'Ġoutside', 'Ġ?']"                                                                                                                , "[331, 544, 93, 297, 377, 1369, 292]"
will there be fog later?                                                    , google search , "['will', 'Ġthere', 'Ġbe', 'Ġfog', 'Ġlater', 'Ġ?']"                                                                                                                    , "[1808, 1115, 297, 2289, 1450, 292]"
how's the air quality?                                                      , google search , "['how', 'Ġbe', 'Ġthe', 'Ġair', 'Ġquality', 'Ġ?']"                                                                                                                     , "[331, 297, 269, 958, 2730, 292]"
what phase is the moon in?                                                  , google search , "['what', 'Ġphase', 'Ġbe', 'Ġthe', 'Ġmoon', 'Ġin', 'Ġ?']"                                                                                                              , "[356, 3420, 297, 269, 1500, 311, 292]"
is it snowing anywhere nearby?                                              , google search , "['be', 'Ġit', 'Ġsnow', 'Ġanywhere', 'Ġnearby', 'Ġ?']"                                                                                                                 , "[342, 377, 2095, 3998, 2810, 292]"
how long till sunrise?                                                      , google search , "['how', 'Ġlong', 'Ġti', 'll', 'Ġsunrise', 'Ġ?']"                                                                                                                      , "[331, 1676, 368, 319, 1971, 292]"
how late is it right now?                                                   , google search , "['how', 'Ġlate', 'Ġbe', 'Ġit', 'Ġright', 'Ġnow', 'Ġ?']"                                                                                                               , "[331, 1826, 297, 377, 772, 490, 292]"
tell me the exact second                                                    , google search , "['tell', 'Ġme', 'Ġthe', 'Ġexact', 'Ġsecond']"                                                                                                                         , "[522, 283, 269, 3903, 2601]"
can you show date and time in one?                                          , google search , "['can', 'Ġyou', 'Ġshow', 'Ġdate', 'Ġand', 'Ġtime', 'Ġin', 'Ġone', 'Ġ?']"                                                                                              , "[383, 314, 1051, 1447, 431, 429, 311, 995, 292]"
current time but in GMT                                                     , google search , "['current', 'Ġtime', 'Ġbut', 'Ġin', 'Ġg', 'm', 't']"                                                                                                                  , "[2410, 429, 1026, 311, 326, 81, 88]"
is it warm enough for shorts?                                               , google search , "['be', 'Ġit', 'Ġwarm', 'Ġenough', 'Ġfor', 'Ġshorts', 'Ġ?']"                                                                                                           , "[342, 377, 2934, 2756, 298, 3990, 292]"
today's weather mood?                                                       , google search , "['to', 'day', ""Ġ'"", 's', 'Ġweather', 'Ġmood', 'Ġ?']"                                                                                                                , "[4354, 438, 532, 87, 932, 1197, 292]"
how's the pressure level outside?                                           , google search , "['how', 'Ġbe', 'Ġthe', 'Ġpressure', 'Ġlevel', 'Ġoutside', 'Ġ?']"                                                                                                      , "[331, 297, 269, 2251, 1506, 1369, 292]"
tell me if it's cloudy                                                      , google search , "['tell', 'Ġme', 'Ġif', 'Ġit', 'Ġbe', 'Ġcloudy']"                                                                                                                      , "[522, 283, 861, 377, 297, 4771]"
check humidity levels                                                       , google search , "['check', 'Ġhumidity', 'Ġlevels']"                                                                                                                                    , "[821, 2834, 3491]"
do I need gloves today?                                                     , google search , "['do', 'Ġi', 'Ġneed', 'Ġglo', 'ves', 'Ġtoday', 'Ġ?']"                                                                                                                 , "[450, 323, 801, 3805, 2017, 595, 292]"
can I go jogging now?                                                       , google search , "['can', 'Ġi', 'Ġgo', 'Ġjog', 'Ġnow', 'Ġ?']"                                                                                                                           , "[383, 323, 763, 4711, 490, 292]"
any storms expected today?                                                  , google search , "['any', 'Ġstorms', 'Ġexpect', 'Ġtoday', 'Ġ?']"                                                                                                                        , "[1402, 4061, 3399, 595, 292]"
how long until sunset?                                                      , google search , "['how', 'Ġlong', 'Ġu', 'nt', 'il', 'Ġsunset', 'Ġ?']"                                                                                                                  , "[331, 1676, 300, 443, 362, 1251, 292]"
I need the date with time                                                   , google search , "['i', 'Ġneed', 'Ġthe', 'Ġdate', 'Ġwith', 'Ġtime']"                                                                                                                    , "[77, 801, 269, 1447, 367, 429]"
launch YouTube                                                              , system        , "['launch', 'Ġyoutube']"                                                                                                                                               , "[758, 468]"
run the close_disk utility                                                  , system        , "['run', 'Ġthe', 'Ġclose', '_', 'dis', 'k', 'Ġutility']"                                                                                                               , "[806, 269, 685, 67, 654, 79, 2828]"
run system shutdown check (don't close apps)                                , system        , "['run', 'Ġsystem', 'Ġshutdown', 'Ġcheck', 'Ġ(', 'Ġdo', 'Ġnot', 'Ġclose', 'Ġapps', 'Ġ)']"                                                                              , "[806, 410, 966, 540, 3226, 359, 427, 685, 1028, 3227]"
restart the system                                                          , system        , "['restart', 'Ġthe', 'Ġsystem']"                                                                                                                                       , "[1053, 269, 410]"
update the software                                                         , system        , "['update', 'Ġthe', 'Ġsoftware']"                                                                                                                                      , "[2513, 269, 1383]"
